CASEID,A27COMMS,NOTES,A1CURFOR,CURRENT,FORMER,A2GENDER,A3AGEGP,A4CBIRTH,A5AETHN1,A5AETHN2,AMERIND,ASIAN,BLACK,HISPANIC,HAWAIIPI,WHITE,OTHER,A6QUALS1,A6QUALS2,A6QUALS3,A6QUALS4,NOFORMAL,DCDANCSC,DCPERFSC,BACHDEGR,ADDCDNCS,ADDCPERF,GRADUATE,FQOTHER,A7GENED,A8ABEGTR,A8BFENGA,A8CBGPCR,A8DFINC,A9OCED1,A9OCED2,A9OCED3,A9OCED4,A9OCED5,A9OCED6,A9OCED7,A9OCED8,ARTISDIR,CHOREOGR,CLBALLET,CLDANCER,CONTMODN,COMMDANC,DANTEACH,INDIGDAN,MUSTHCAB,TRADFOLK,OTHRDANC,OTHRART,A9BMIINC,A9CMISAT,C10PCCR,C10PCDT,C10PCAR,C10PCOW,C10PCUN,C10PCOT,C10T100,F10AEY1,F10AEY2,F10AEY3,F10AEY4,F10AEY5,F10AEY6,EYFTDANC,EYPTDANC,EYFTDNRL,EYPTDNRL,EYFTNOND,EYPTNOND,EYSTUDY,C11HRSAB,C11HRSCD,C11HRSEF,C11HRSGH,C11ABRC,C11CDRC,C11EFRC,C11GHRC,C12STPCR,C12SCRC,C13STOP1,C13STOP2,C13STOP3,C13STOP4,C13STOP5,C13OTHER,WSTOOOLD,WSFINANC,WSHEALTH,WSWKNOTA,WSNEWCRR,WSCNTREX,WSOTHER,WSDONTKN,WSFAMILY,WSNOTENJ,F10BFY1,F10BFY2,F10BFY3,F10BFY4,F10BFY5,F10BFY6,F10BFY7,FYFTDANC,FYPTDANC,FYFTDNRL,FYPTDNRL,FYFTNOND,FYPTNOND,FYSTUDY,F10CTML1,F10CTML2,F10CTML3,F10CTML4,F10CTML5,F10CTML6,TWMLFTDN,TWMLPTDN,TWMLFTDR,TWMLPTDR,TWMLFTND,TWMLPTND,TWMLSTDY,F10DNOW1,F10DNOW2,F10DNOW3,F10DNOW4,F10DNOW5,NWFTDANC,NWPTDANC,NWFTDNRL,NWPTDNRL,NWFTNOND,NWPTNOND,NWSTUDY,F11ACOCC,OCC1CODE,F11BHRSA,HPWRCOCA,F11CCOCC,OCC2CODE,F11DHRSC,HPWOCC,F11ECOCC,OCC3CODE,F11FHRSE,HPWRCOCE,DNCRLOC,ARTRLOC,HLTHRLOC,NONARLOC,PARNTOC,STUDNTOC,RETIRED,NUMOCCS,HRSOCCS,HPWALLOC,OCCAMC,OCCCMA,OCCAEC,OCCACZRO,F12AEXFN,F12ESRC,F12BFNCR,F12DSRC,F12CTMEL,F13STOP1,F13STOP2,F13STOP3,F13STOP4,F13STOP5,F13OTHER,DSTOOOLD,DSFINANC,DSHEALTH,DSWKNTAV,DSCNTREX,DSNEWCRR,DSOTHER,DSDNTKN,DSFAMILY,DSNOTENJ,A24UNAWR,A24NPREP,A24MRHLP,A24NOHLP,A24INTRG,A24FEAR,A24SKILL,A25AQL1,A25AQL2,A25AQL3,A25AQL4,A25AQL5,A25AQL6,A25AQL7,A25AQL8,A25AQL9,A25AQL10,A25OTHER,SKCOMMUN,SKCOMPET,SKCOOP,SKINITIV,SKLEADSH,SKPRESEN,SKSELFCF,SKSELFDC,SKSTAMIN,SKOTHER,A25BMIMP,C14ACHAL,C14BAW1,C14BAW2,AWALWAYS,AWEDUPGM,AWINJURY,AWBETDNE,AWOTHER,C14CAGE,C14AWRC,C14DACT,C14ACRC,C15CHAF1,C15CHAF2,C15CHAF3,C15CHAF4,C15CHAF5,C15CHAF6,C15CHAF7,C15CHAF8,C15OTHER,CDCHPHYS,CDCHLST,CDCHLINC,CDCHLFS,CDCHEMOT,CDCHDEC,CDCHEMPT,CDCHOTH,CDCHDK,C15BMSCH,C15BOTHR,C16AWMPF,C16BWWD1,C16BWWD2,C16BWWD3,C16BWWD4,C16BWWD5,C16BWWD6,C16BWWD7,CDWKCHOR,CDWKDOM,CDWKEDU,CDWKDRL,CDWKARL,CDWKNONA,CDWKTDNC,CDWKOTHR,CDWKDK,C17AFEDU,C17BFIN1,C17BFIN2,C17BFIN3,C17BFIN4,C17BFIN5,CDLOANS,CDSCHLS,CDCOUNN,CDYOU,CDFMFR,CDOTHER,CDDK,C18FINAS,C18EMPSP,C18ADINF,C18EDUTR,C19DNCCO,C19UNION,C19DORG,C19AORG,C19GOVB,C19FAMF,C21APROG,C21BDETS,C21CUSE1,F21APROG,C22PREPR,C20INCCH,C23COMMG,C23ARTDI,C23FLDNC,C23PTSP,C23FAMLY,C23FRNDS,C23OTHRK,C23OTHER,F14ACHAL,F14BAW1,F14BAW2,F14BAW3,FDAWALWY,FDAWEDU,FDAWINJY,FDAWBDNE,FDAWOTHR,F14CAGE,F14AWRC,F14DACT,F14ACRC,F15CHAF1,F15CHAF2,F15CHAF3,F15CHAF4,F15CHAF5,F15CHAF6,F15CHAF7,F15CHAF8,F15OTHER,FDCHPHYS,FDCHLST,FDCHLINC,FDCHLFS,FDCHEMOT,FDCHDEC,FDCHEMPT,FDCHOTHR,FDCHDK,F15BMSCH,F15BOTHR,F16AWMPF,F16BWAD1,F16BWAD2,F16BWAD3,F16BWAD4,F16BWAD5,F16BWAD6,F16BWAD7,FDWKCHOR,FDWKDOM,FDWKEDU,FDWKDRL,FDWKARL,FDWKNONA,FDWKTDNC,FDWKOTHR,FDWKDK,F17AFEDU,F17BTIME,F17CWH1,F17CWH2,F17CWH3,F17CWH4,FDWHCOLU,FDWHSERV,FDWHTRDE,FDWHPRIV,FDWHOTH,F17DFIN1,F17DFIN2,F17DFIN3,F17DFIN4,F17DFIN5,F17DFIN6,FDFNLNS,FDFNSCH,FDFNCOUN,FDFNYOU,FDFNPFF,FDFNOTH,F17ECOST,F17FESTG,F18FINAS,F18EMPSP,F18ADINF,F18EDUTR,F19DNCCO,F19UNION,F19DORG,F19AORG,F19GOVB,F19FAMF,F20ATML,F20BNOW,F21BDETS,F21CUSE1,F22PREPR,F23COMMG,F23ARTDI,F23FLDNC,F23PTSP,F23FAMLY,F23FRNDS,F23OTHRK,F23OTHER,F23BSAT,C261ACWK,C261BEXP,C261CDRL,C261DARL,C261ENNA,C261FUNM,C261GGOV,C262AHI,C262BLW,F261ADRL,F261BOAR,F261CNNA,F261DUNM,F261EGOV,F262AERN,F262BEXP,F262CEOS,F263AHI,F263BLW
129,1,"23b., and parts of 23a invalid due to multiple response.",2,D,1,1,10,Masked,6,D,0,0,0,0,0,1,0,1,8,D,D,1,0,0,0,0,0,0,1,6, 23, 25, 25, 25, 1, 2, 5, 6, 7, 9, D, D,1,1,0,0,1,1,1,0,1,0,0,0, 7, 5,  D,  D,  D,  D,  D,  D,  0,2,3,D,D,D,D,0,1,1,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,3,D,D,D,D,D,D,0,0,1,0,0,0,0,3,D,D,D,D,D,0,0,1,0,0,0,0,D,D,D,D,D,0,0,0,0,0,0,0,Masked, 7,0,0, , D,0,0, ,D,0,0,0,0,0,0,0,0,1,1,  0,0,0,0,1,1,  D, D,  D, D,D, D, D, D, D, D, ,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,1, 6, 7, 8,10, D, D, D, D, D, D,"nervous control, build up a to performance, actual performance, with panach!",0,0,0,0,0,1,1,1,0,1, D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,D,D,D,D,0,0,0,0,0,  D, D,  D, D,3,D,D,D,D,D,D,D, ,0,0,1,0,0,0,0,0,0,3, ,7,7,D,D,D,D,D,D,0,0,0,0,0,0,1,0,0,D,D,D,D,D,D,0,0,0,0,0,D,D,D,D,D,D,0,0,0,0,0,0,       D,D,D,D,D,D,D,D,D,D,1,D,1,1, ,D,1,D,D,D,D,D,D,D, ,D,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
130,1, ,2,D,1,2,7,Masked,2,D,0,1,0,0,0,0,0,3,D,D,D,0,0,1,0,0,0,0,0,4,  8, 18, 18, 18, D, D, D, D, D, D, D, D,0,0,0,0,0,0,0,0,0,0,0,0, 1, 2,  D,  D,  D,  D,  D,  D,  0,1,D,D,D,D,D,1,0,0,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,3,D,D,D,D,D,1,0,1,0,0,0,0,7,D,D,D,D,D,0,0,0,0,0,0,1,3,D,D,D,D,0,0,1,0,0,0,0,Masked, 1,40,4,Masked, 1,15,2, ,D,0,0,2,0,0,0,0,0,0,2, 55,6,1,0,0,0, 38, 9, 28, 5,2, 9, D, D, D, D,marriage  RC9,0,0,0,0,0,0,1,0,1,0,2,2,2,5,2,2,2, 1, 2, 3, 4, 5, 6, 7, 8, 9, D, ,1,1,1,1,1,1,1,1,1,0, 3,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,2,1,D,D,1,0,0,0,0, 22, 3, 29, 5,3,4,5,6,7,D,D,D, ,0,0,1,1,1,1,1,0,0,3, ,1,1,2,3,4,5,7,D,1,1,1,1,1,0,1,0,0,2,2,1,D,D,D,1,0,0,0,0,4,D,D,D,D,D,0,0,0,1,0,0,    5000,1,1,1,1,1,4,4,4,4,4,1,2,1, ,D,2,4,4,1,1,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
131,1,Q9a entered 11; Q13 entered 7; Q14a changed 4 to 2; 17f. Invalid due to multiple response.,2,D,1,1,9,Masked,6,D,0,0,0,0,0,1,0,8,D,D,D,0,0,0,0,0,0,0,1,2,  8, 16, 18, 18, 2, 3, 6, 7, 9,11, D, D,0,1,1,0,0,1,1,0,1,0,1,0, 9, 9,  D,  D,  D,  D,  D,  D,  0,1,7,D,D,D,D,1,0,0,0,0,0,1,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,D,D,D,D,D,D,1,0,0,0,0,0,0,5,D,D,D,D,D,0,0,0,0,1,0,0,3,5,D,D,D,0,0,1,0,1,0,0,Masked, 3,40,4,Masked, 1,6,1, ,D,0,0,1,0,1,0,0,0,0,2, 46,5,1,0,0,0, 35, 8, 42,11,3, 3, 7, D, D, D,Bob Fosse dies Ron Field died Aids 54 Michael Bennett Aids 54 All empolyers died within 5 years,0,0,1,0,0,0,1,0,0,0,1,1,1,5,1,1,1, 1, 3, 4, 5, 6, 7, 8, 9,10, D,Dependability on time absent not sick,1,0,1,1,1,1,1,1,1,1, 6,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,1,D,D,D,D,D,D,D,D,D, ,2,5,D,D,0,0,0,0,1, 42,11, 45,12,1,2,3,4,5,6,7,8,sense of loss - identity,1,1,1,1,1,1,1,1,0,8,sense of loss - identity,5,3,4,6,7,D,D,D,0,0,1,1,0,1,1,0,0,3,2,1,5,D,D,1,0,0,0,1,4,D,D,D,D,D,0,0,0,1,0,0,       D,D,1,1,1,1,4,2,1,4,4,D,2,2,Masked,1,3,3,3,1,4,3,1,D, ,2,       D,D,       D,       D,       D,       D,       D,       D,       D,    3000,       D,   27000,       D,       D,   35000,3,       0,   60000,   13000
132,1, ,2,D,1,1,8,Masked,6,D,0,0,0,0,0,1,0,4,7,D,D,0,0,0,1,0,0,1,0,5,  3, 19, 21, 21, 2, 5, 7, D, D, D, D, D,0,1,0,0,1,0,1,0,0,0,0,0, 7, 2,  D,  D,  D,  D,  D,  D,  0,6,7,D,D,D,D,0,0,0,0,0,1,1,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,3,D,D,D,D,D,D,0,0,1,0,0,0,0,4,D,D,D,D,D,0,0,0,1,0,0,0,5,D,D,D,D,0,0,0,0,1,0,0,Masked, 3,12,2,Masked, 4,11,2,Masked,3,0,0,0,0,2,1,0,0,0,3, 23,3,1,0,0,0,  D, D, 42,11,2, 2,10, D, D, D,boredom  RC10,0,1,0,0,0,0,1,0,0,1,2,1,1,4,2,3,2, 3, 7, 8, 9,10, D, D, D, D, D,ability to teach,0,0,1,0,0,0,1,1,1,1, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,1,D,D,D,D,D,D,D,D,D, ,4,D,D,D,0,0,0,0,0,  D, D,  D, D,4,6,D,D,D,D,D,D, ,0,0,0,1,0,1,0,0,0,6, ,5,3,6,7,D,D,D,D,0,0,1,0,0,1,1,0,0,2,2,1,D,D,D,1,0,0,0,0,1,D,D,D,D,D,1,0,0,0,0,0,   15000,1,1,2,2,2,4,4,4,4,4,1,3,1,Masked,1,1,4,1,4,1,1,4,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       0,       D,   20000,       D,       D,   12000,4,       D,       D,       D
133,2, ,1,1,D,1,3,Masked,5,D,0,0,0,0,1,0,0,3,D,D,D,0,0,1,0,0,0,0,0,4,  4, 12, 14, 12, 2, 3, 5, 6, 7, 8, 9,10,0,1,1,0,1,1,1,1,1,1,0,0, 6, 9, 25, 25,  D, 50,  D,  D,100,D,D,D,D,D,D,D,D,D,D,D,D,D,  4,  4, 40,  D,1,1,4,0, 40,10, 3, D, D, D, D, ,0,0,1,0,0,0,0,0,0,0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, , D,0,D, , D,0,D, ,D,0,D,D,D,D,D,D,D,D,D,  D,D,D,D,1,1,  D, D,  D, D,D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,1,1,4,D,1,1, 1, 2, 3, 4, 6, 7, 8, 9, D, D, ,1,1,1,1,0,1,1,1,1,0, 9,1,3,D,0,0,1,0,0, 14, 0, 25, 4,1,2,3,4,5,6,D,D, ,1,1,1,1,1,1,0,0,0,1, ,5,4,D,D,D,D,D,D,0,0,0,1,0,0,0,0,0,1,1,2,3,4,5,1,1,1,1,1,0,0,D,D,D,D,2,1,1,1,3,1,1,Masked,1,D,3,3,3,3,1,1,1,1,D, ,D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,       D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D, ,D,    6000,1,    5000,   15000,       D,       D,       D,   25000,       0,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
134,2,Q17e endeted $0 for NA since the it did not require financing,2,D,1,1,6,Masked,3,D,0,0,1,0,0,0,0,4,D,D,D,0,0,0,1,0,0,0,0,4, 14, 19, 23, 20, 1, 2, 5, 6, 7, 9, D, D,1,1,0,0,1,1,1,0,1,0,0,0, 9, 5,  D,  D,  D,  D,  D,  D,  0,1,4,D,D,D,D,1,0,0,1,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,4,D,D,D,D,D,1,0,0,1,0,0,0,3,4,5,D,D,D,0,0,1,1,1,0,0,4,5,D,D,D,0,0,0,1,1,0,0,Masked, 2,30,3,Masked, 2,10,1, ,D,0,0,0,2,0,0,0,0,0,2, 40,4,1,0,0,0, 40,10, 33, 7,1, 3, D, D, D, D, ,0,0,1,0,0,0,0,0,0,0,1,1,1,5,3,6,2, 1, 2, 3, 5, 7, 8, 9, D, D, D, ,1,1,1,0,1,0,1,1,1,0, 1,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,1,1,D,D,1,0,0,0,0, 29, 5, 32, 7,1,D,D,D,D,D,D,D, ,1,0,0,0,0,0,0,0,0,8,for Q15b - None of the above,1,1,4,5,7,D,D,D,1,0,0,1,1,0,1,0,0,3,1,4,D,D,D,0,0,0,1,0,6,D,D,D,D,D,0,0,0,0,0,1,       D,2,3,1,1,2,3,1,3,3,3,1,3,1, ,D,2,1,4,1,1,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       0,   70000,       0,       0,       0,   50000,3,       0,   53000,   40000
135,1,"Q11a no hours entered but noted that they do ""usually 1 or 2 shows a year""; Q 14a changed 3/4 to 2;",2,D,1,1,9,Masked,6,D,0,0,0,0,0,1,0,1,D,D,D,1,0,0,0,0,0,0,0,6,  5, 15, 15, 15, 6, 7, 9, D, D, D, D, D,0,0,0,0,0,1,1,0,1,0,0,0, 2, D,  D,  D,  D,  D,  D,  D,  0,1,D,D,D,D,D,1,0,0,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,D,D,D,D,D,D,1,0,0,0,0,0,0,2,4,D,D,D,D,0,1,0,1,0,0,0,5,D,D,D,D,0,0,0,0,1,0,0,Masked, 1,0,0,Masked, 3,30,3, ,D,0,0,1,0,1,0,0,0,0,2, 30,3,0,1,0,0, 30, 6, 31, 7,1, 5, D, D, D, D,I became a successful choreographer  RC5,0,0,0,0,0,0,1,0,0,0,1,1,1,5,3,6,2, 1, 2, 3, 4, 5, 6, 7, 9, D, D, ,1,1,1,1,1,1,1,0,1,0, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,1,D,D,D,D,D,D,D,D,D, ,2,5,D,D,0,0,0,0,1, 47,13, 48,13,8,D,D,D,D,D,D,D,I needed more control of my life. I was tired of the constant traveling doing the same shows and I saw that I was generally the oldest creative person on the team. I wanted to plan my life and spend more time with my kids.,0,0,0,0,0,0,0,1,0,8,I needed more control of my life. I was tired of the constan,1,1,5,6,7,8,D,D,1,0,0,0,1,1,1,1,0,2,D,5,D,D,D,0,0,0,0,1,1,3,4,D,D,D,1,0,1,1,0,0,   10000,1,2,2,1,2,D,2,2,D,D,2,3,3,Masked,1,1,D,1,1,D,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,    1500,       D,   75000,       D,       D,   35000,3,       D,   50000,       D
136,1,"9b., 9c., Invalid due to multiple response.",2,D,1,2,10,Masked,6,D,0,0,0,0,0,1,0,7,D,D,D,0,0,0,0,0,0,1,0,4, 18, 21, 21, 22, 3, 5, 6, 7, 9,12, D, D,0,0,1,0,1,1,1,0,1,0,0,1, D, D,  D,  D,  D,  D,  D,  D,  0,1,7,D,D,D,D,1,0,0,0,0,0,1,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,7,D,D,D,D,D,1,0,0,0,0,0,1,3,D,D,D,D,D,0,0,1,0,0,0,0,4,6,D,D,D,0,0,0,1,0,1,0,Masked, 2,0,0,Masked, 1,0,0, ,D,0,0,1,1,0,0,0,0,0,2,  0,0,0,0,1,1, 38, 9, 38, 9,2, 1, D, D, D, D, ,1,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2, 2, 3, 4, 6, 7, 8, 9,10, D, D,For Q25b - Adaptability,0,1,1,1,0,1,1,1,1,1,10,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,2,4,D,D,0,0,0,1,0, 35, 8, 35, 8,1,6,D,D,D,D,D,D, ,1,0,0,0,0,1,0,0,0,6, ,D,8,D,D,D,D,D,D,0,0,0,0,0,0,0,1,0,2,3,1,D,D,D,1,0,0,0,0,5,6,D,D,D,D,0,0,0,0,1,1,       D,2,2,3,2,1,4,4,4,4,4,1,1,3, ,D,2,4,4,3,4,1,1,D, ,2,       D,D,       D,       D,       D,       D,       D,       D,       D,    5000,       D,    3600,       D,    4500,       D,D,       D,       D,       D
137,2,"9b., 9c., Invalid due to multiple response.",1,1,D,1,2,Masked,6,D,0,0,0,0,0,1,0,1,D,D,D,1,0,0,0,0,0,0,0,6,  3, 16, 17, 17, 3, 5, 7, D, D, D, D, D,0,0,1,0,1,0,1,0,0,0,0,0, D, D, 75,  5,  D,  D,  D, 20,100,D,D,D,D,D,D,D,D,D,D,D,D,D, 30,  2,  D,  D,3,1,0,0, 25, 4, 5, D, D, D, D, ,0,0,0,0,1,0,0,0,0,0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, , D,0,D, , D,0,D, ,D,0,D,D,D,D,D,D,D,D,D,  D,D,D,D,1,1,  D, D,  D, D,D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,2,1,4,2,1,2, 2, 3, 6, 7, 8, 9, D, D, D, D, ,0,1,1,0,0,1,1,1,1,0, 8,1,3,D,0,0,1,0,0, 20, 2, 19, 1,2,3,4,6,7,D,D,D, ,0,1,1,1,0,1,1,0,0,6, ,6,3,6,7,D,D,D,D,0,0,1,0,0,1,1,0,0,6,D,D,D,D,D,0,0,0,0,0,0,0,1,2,1,2,2,2,2,3,1,1,1,Masked,1,D,2,2,1,1,1,1,1,1,D, ,D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,       D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D, ,D,   60000,2,       D,       D,       D,    5000,       D,   60000,   30000,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
138,2,Q10 respondent's total was 200%; Q17b - 2 was entered since the respondent put that answer in the sa,1,1,D,1,7,Masked,6,D,0,0,0,0,0,1,0,4,7,D,D,0,0,0,1,0,0,1,0,5, 15, 20, 20, 20, 1, D, D, D, D, D, D, D,1,0,0,0,0,0,0,0,0,0,0,0, D, D, 50,100, 50,  D,  D,  D,200,D,D,D,D,D,D,D,D,D,D,D,D,D, 30, 10,  D,  D,3,1,0,0,  D, D, 4, D, D, D, D, ,0,0,0,1,0,0,0,0,0,0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, , D,0,D, , D,0,D, ,D,0,D,D,D,D,D,D,D,D,D,  D,D,D,D,1,1,  D, D,  D, D,D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,4,4,2,3,D,2,2, 1, 2, 4, 9, D, D, D, D, D, D, ,1,1,0,1,0,0,0,0,1,0, D,1,1,D,1,0,0,0,0, 17, 1, 17, 1,1,D,D,D,D,D,D,D, ,1,0,0,0,0,0,0,0,0,4, ,1,1,4,7,D,D,D,D,1,0,0,1,0,0,1,0,0,1,2,D,D,D,D,0,1,0,0,0,0,0,2,1,2,2,D,D,D,D,D,D,D, ,D,D,1,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,       D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D, ,D,   10000,D,   20000,       D,       D,       D,    3000,   35000,    7000,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
139,2,"9b., 9c., Invalid due to multiple response.",2,D,1,2,7,Masked,6,D,0,0,0,0,0,1,0,1,D,D,D,1,0,0,0,0,0,0,0,2, 14,  D,  D,  D, 1, 3, 5, 6, 7, 9,10, D,1,0,1,0,1,1,1,0,1,1,0,0, D, D,  D,  D,  D,  D,  D,  D,  0,1,D,D,D,D,D,1,0,0,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,D,D,D,D,D,D,1,0,0,0,0,0,0,3,D,D,D,D,D,0,0,1,0,0,0,0,3,D,D,D,D,0,0,1,0,0,0,0,Masked, 1,60,6,Masked, 1,6,1, ,D,0,0,2,0,0,0,0,0,0,2, 66,7,1,0,0,0, 40,10, 36, 9,1, 3, D, D, D, D, ,0,0,1,0,0,0,0,0,0,0,2,1,1,5,2,1,2, 1, 2, 3, 4, 6, 7, 8, 9,10, D,openmindedness,1,1,1,1,0,1,1,1,1,1, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,2,1,D,D,1,0,0,0,0,  D, D, 34, 7,1,D,D,D,D,D,D,D, ,1,0,0,0,0,0,0,0,0,3, ,5,4,D,D,D,D,D,D,0,0,0,1,0,0,0,0,0,1,5,4,D,D,D,0,0,0,1,0,4,D,D,D,D,D,0,0,0,1,0,0,       D,2,4,D,1,4,1,D,D,D,D,1,3,3, ,D,2,2,2,1,1,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
